archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include,archive_id
426,8150,View of Seine from the Lighthouse,Exposition Grounds,Parc,Architecture Expo,Kakou Collection,Confident,452.1809418,-99.05308496,Duplicate of 266 keep,TRUE,426
427,8153,View of Great Greenhouse,Horticultural Gardens,Parc,Architecture People,Kakou Collection,Confident,-405.9675905,-213.3679246,,TRUE,427
428,8182,View from the Expo Entrance,Exposition Grounds,Parc,Architecture,Kakou Collection,Confident,-464.6528488,8.725890073,,TRUE,428
429,8184,Pavillion of the Empress,Horticultural Gardens,Parc,Architecture,Kakou Collection,Confident,-400.64763,-121.2084559,Alt view of 329,TRUE,429
430,8203,Prussian Pavillion,Prussian Park,Parc ,People Architecture,Kakou Collection,remove,-258.5796128,64.34195671,duplicate of 1118 remove this,FALSE,430
431,8213,Arch with view of American Automobiles,Australian Section (British Colonies),Palais,Architecture Industry,Kakou Collection,Confident,94.72208189,140.4877747,,TRUE,431
432,8219,French Machinery,French Section,Palais,Industry Architecture,Kakou Collection,Confident,3.598420888,-168.9274649,,TRUE,432
434,NA,French Industrial Machines,French Section,Palais,Machines,Kakou Collection,Confident,170.4660975,-91.56980829,,TRUE,434
435,NA,Palais Construction,Rare View,Palais,Architecture,Kakou Collection,Fabricated,-207.3541459,-17.94049742,,TRUE,435
436,NA,Stereoscope,French Section,Palais,Commercial Photography,Kakou Collection,remove,,,duplicate of 1112 remove,FALSE,436
649,421,Interior of the Great Greenhouse,Horticultural Gardens,Parc,Greenhouse,Archives Nationales de France,Confident,-328.8912395,-120.31817,,TRUE,649
827,61,Awake Lion,Prussian Section,Palais,Sculpture,Archives Nationales de France,approximate,-168.0594433,2.920977711,,TRUE,827
829,108,Sleeping Lion,Prussian Section,Palais,Sculpture,Archives Nationales de France,approximate,-161.0664166,2.632473765,,TRUE,829
848,483,Krupp Exhibition,Prussian Section,Palais,Military,Archives Nationales de France,Approximate,-210.2171344,26.57711831,Alt view of 220 848,TRUE,848
948,NA,Islamic Doorway,Tunisian Park,Parc,Architecture,Archives Nationales de France,remove,,,duplicate of 1114,FALSE,948
1022,91,Man Sitting Amidst Baccarat Crystal,French Section,Palais,People Crystal,Smithsonian Institute,Confident,8.868102286,-71.69619379,baccarat,TRUE,1022
1023,8082,Italian Sculptures,Italian Section ,Palais,Sculpture,Daniel Foliard,remove ,,,Row of sculptures,FALSE,1023
1024,8174,View of the Great Greenhouse,Horticultural Gardens,Parc,Architecture,Daniel Foliard,Confident,-433.6631398,-104.1164088,,TRUE,1024
1025,8215,American Furniture and Musical Equipment,American Section,Palais,Decorative Arts,Daniel Foliard,Confident,65.98944096,94.64056579,,TRUE,1025
1027,8004,Saltwater aquarium Interior Underground,Horticultural Gardens,Parc,Aquarium,Getty Foundation,Confident,-371.6801262,-71.63348565,Aquarium,TRUE,1027
1028,8004,Sculptures at the Chateau d'Eau,French Park,Parc,Architecture Sculpture,Getty Foundation,Confident,191.8612137,-134.883241,,TRUE,1028
1029,8010,French Bronzes,French Section,Palais,Decorative Arts,Getty Foundation,somewhat confident,1.184446659,-95.63224309,,TRUE,1029
1031,8014,Goldsmithing,French Section,Palais,Sculpture Decorative Arts,Getty Foundation,somewhat confident,1.270519143,-112.2152637,,TRUE,1031
1033,8021,Prussian Decorative Arts,Prussian Section,Palais,Sculpture Decorative Arts,Getty Foundation,approximate,-152.7215833,52.74062129,,TRUE,1033
1035,8030,Austrian Decorative Arts,Austrian Section,Palais,Decorative Arts,Getty Foundation,approximate,-97.49889111,85.73659195,Alt view of 416 1035?,TRUE,1035
1037,8035,English Glass and Mirrors,Great Britain and Ireland,Palais,Decorative Arts,Getty Foundation,approximate,111.7005995,96.9279539,,TRUE,1037
1038,8058,Christopher Columbus by Vincent Vela,Italian Section ,Palais,Sculpture,Getty Foundation,Confident,1.854740011,105.450458,Row of sculptures,TRUE,1038
1039,8043,Porcelain,French Section,Palais,Decorative Arts,Getty Foundation,approximate,-47.56143096,-80.62162456,,TRUE,1039
1040,8046,Baccarat Crystals,French Section,Palais,Decorative Arts,Getty Foundation,Confident,10.28553286,-75.4701847,Baccarat,TRUE,1040
1042,8087,Italian Sculptures,Italian Fine Arts Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,Confident,14.29892062,44.81256463,Alt View 1044 1123 9 379 211 1042 123 inconsistent,TRUE,1042
1043,8061,English Industry,Great Britain and Ireland,Palais Industrial Gallery,Industry,Getty Foundation,Confident,161.1102097,108.1758903,alt view 413 1043,TRUE,1043
1044,8038,Italian Angel Statue,Italian Fine Arts Section,Galerie des Beaux-Arts,Sculpture,Getty Foundation,Confident,0.115150585,26.38314942,,TRUE,1044
1046,8100,Italian Sculptures,Italian Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,Confident,21.03736179,45.21856211,Duplicate of 123 Keep this,TRUE,1046
1047,8111,Fine Arts Austria,Austrian Fine Arts Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,somewhat confident,-71.22409292,37.24696039,,TRUE,1047
1049,8133,Audience at the Awards Ceremony,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Awards People,Getty Foundation,Offsite,547.1990868,4.704339582,Awards,TRUE,1049
