archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include
649,421,Interior of the Great Greenhouse,Horticultural Gardens,Parc,Greenhouse,Archives Nationales de France,Confident,-328.8912395,-120.31817,,True
827,61,Awake Lion,Prussian Section,Palais,Sculpture,Archives Nationales de France,approximate,-168.0594433,2.920977711,,True
829,108,Sleeping Lion,Prussian Section,Palais,Sculpture,Archives Nationales de France,approximate,-161.0664166,2.632473765,,True
848,483,Krupp Exhibition,Prussian Section,Palais,Military,Archives Nationales de France,Approximate,-210.2171344,26.57711831,Alt view of 220 848,True
25,,Islamic Doorway,Tunisian Park,Parc,Architecture,Archives Nationales de France,remove,,,duplicate of 1114,False
165,91,Man Sitting Amidst Baccarat Crystal,French Section,Palais,People Crystal,Smithsonian Institute,Confident,8.868102286,-71.69619379,baccarat,True
1023,8082,Italian Sculptures,Italian Section ,Palais,Sculpture,Daniel Foliard,remove ,,,Row of sculptures,False
1024,8174,View of the Great Greenhouse,Horticultural Gardens,Parc,Architecture,Daniel Foliard,Confident,-433.6631398,-104.1164088,,True
1025,8215,American Furniture and Musical Equipment,American Section,Palais,Decorative Arts,Daniel Foliard,Confident,65.98944096,94.64056579,,True
1027,8004,Saltwater aquarium Interior Underground,Horticultural Gardens,Parc,Aquarium,Getty Foundation,Confident,-371.6801262,-71.63348565,Aquarium,True
1027,8004,Sculptures at the Chateau d'Eau,French Park,Parc,Architecture Sculpture,Getty Foundation,Confident,191.8612137,-134.883241,,True
1029,8010,French Bronzes,French Section,Palais,Decorative Arts,Getty Foundation,somewhat confident,1.184446659,-95.63224309,,True
1031,8014,Goldsmithing,French Section,Palais,Sculpture Decorative Arts,Getty Foundation,somewhat confident,1.270519143,-112.2152637,,True
1033,8021,Prussian Decorative Arts,Prussian Section,Palais,Sculpture Decorative Arts,Getty Foundation,approximate,-152.7215833,52.74062129,,True
407,8030,Austrian Decorative Arts,Austrian Section,Palais,Decorative Arts,Getty Foundation,approximate,-97.49889111,85.73659195,Alt view of 416 1035?,True
1037,8035,English Glass and Mirrors,Great Britain and Ireland,Palais,Decorative Arts,Getty Foundation,approximate,111.7005995,96.9279539,,True
1038,8058,Christopher Columbus by Vincent Vela,Italian Section ,Palais,Sculpture,Getty Foundation,Confident,1.854740011,105.450458,Row of sculptures,True
1039,8043,Porcelain,French Section,Palais,Decorative Arts,Getty Foundation,approximate,-47.56143096,-80.62162456,,True
1040,8046,Baccarat Crystals,French Section,Palais,Decorative Arts,Getty Foundation,Confident,10.28553286,-75.4701847,Baccarat,True
1042,8087,Italian Sculptures,Italian Fine Arts Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,Confident,14.29892062,44.81256463,Alt View 1044 1123 9 379 211 1042 123 inconsistent,True
1043,8061,English Industry,Great Britain and Ireland,Palais Industrial Gallery,Industry,Getty Foundation,Confident,161.1102097,108.1758903,alt view 413 1043,True
1044,8038,Italian Angel Statue,Italian Fine Arts Section,Galerie des Beaux-Arts,Sculpture,Getty Foundation,Confident,0.115150585,26.38314942,,True
1046,8100,Italian Sculptures,Italian Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,Confident,21.03736179,45.21856211,Duplicate of 123 Keep this,True
1047,8111,Fine Arts Austria,Austrian Fine Arts Section,Galerie des Beaux-Arts,Sculpture Paintings,Getty Foundation,somewhat confident,-71.22409292,37.24696039,,True
1049,8133,Audience at the Awards Ceremony,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Awards People,Getty Foundation,Offsite,547.1990868,4.704339582,Awards,True
25,,Saltwater Aquarium,Horticultural Gardens,Parc,Architecture Interior,Getty Foundation,Confident,-365.1349831,-61.85536504,Aquarium,True
5,215,Cannon Krupp Right View,Prussian Section,Palais,Military,Bibliotheque National de France,approximate,-177.6337131,20.7387096,alt view 1073 5,True
268,382,Red Cross building,French Park,Parc,Architecture,Bibliotheque National de France,Confident,457.7768982,-167.5053819,,True
1110,8140,Awards Ceremony Hall,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Architecture Interior Awards,Roger Viollet,Offsite,556.1495546,-0.772812368,Awards,True
1111,8094,Industrial Machines,French Section,Palais,Machines,Roger Viollet,Confident,-133.4995284,-130.3322626,,True
25,,Stereoscope and Photography Room,Prussian Section,Palais,Photography Stereoviewer,Roger Viollet,approximate,-131.4307096,46.24055841,Duplicate of 436,True
1113,8201,Great Austrian Restaurant,Austrian Park,Parc,Architecture,Roger Viollet,Confident,-363.1721749,156.129805,,True
25,,Islamic Doorway,Tunisian Park,Parc,Architecture,Roger Viollet,Confident,413.1994416,191.9972949,Duplicate of 948 ,True
1115,8195,Temple of Edfu,Egyptian Park,Parc,Architecture,Roger Viollet,Confident,234.2791221,142.1310256,Duplicate of 312,True
25,,Temple of Edfu with People,Egyptian Park,Parc,Architecture People,Roger Viollet,Confident,244.1646516,149.0568325,,True
25,,Prussian Pavillion,Prussian Park,Parc ,People Architecture,Roger Viollet,Confident,-261.3169914,65.65533538,Duplicate of 430,True
25,,Awards Ceremony Audience,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),People,Roger Viollet,Offsite,543.9929491,-6.917909677,awards,True
1117,8297,Egyptian Mosque,Egyptian Park,Parc,Architecture,Roger Viollet,Confident,230.7187613,120.7815197,Dupe of 313 11 alt 422 13,True
1121,8123,Expo Riverside,Exposition Grounds,Parc,People Architecture Parc,Roger Viollet,Confident,567.246384,-289.3617686,,True
430,8203,Awards Ceremony,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Boats people seine,Roger Viollet,Offsite,536.7724126,2.0147247,awards,True
